"Timestamp","Insira sua idade, em números"
"2021/02/03 9:17:11 PM GMT-3","24"
"2021/02/03 9:17:11 PM GMT-3","23"
"2021/02/03 9:17:12 PM GMT-3","29"
"2021/02/03 9:17:12 PM GMT-3","25"
"2021/02/03 9:17:13 PM GMT-3","18"
"2021/02/03 9:17:13 PM GMT-3","39"
"2021/02/03 9:17:15 PM GMT-3","23"
"2021/02/03 9:17:15 PM GMT-3","18"
"2021/02/03 9:17:16 PM GMT-3","25"
"2021/02/03 9:17:16 PM GMT-3","31"
"2021/02/03 9:17:16 PM GMT-3","25"
"2021/02/03 9:17:21 PM GMT-3","32"
"2021/02/03 9:17:23 PM GMT-3","34"
"2021/02/03 9:17:30 PM GMT-3","33"
"2021/02/03 9:17:53 PM GMT-3","36"
"2021/02/03 9:18:13 PM GMT-3","25"
"2021/02/03 9:19:29 PM GMT-3","29"
"2021/02/03 9:19:41 PM GMT-3","44"
